,Unnamed: 0,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
8058,8141,2014777345,negative,1,Cancelled Flight,0.3704,American,,otisday,,0,@AmericanAir @travisamex It's not the weather. It's also gross incompetence. Understaffing. Crew forgetting to load bags. Don't duck truth.,,2015-02-22 12:22:19 -0800,Pekin,Eastern Time (US & Canada)
8060,8143,-1349070848,negative,1,Late Flight,1.0,American,,otisday,,0,@AmericanAir @Stone9956 Do you dislike delays when they're caused by YOUR crew forgetting to load bags &amp; lazy pilot wanting duty day to end?,,2015-02-22 12:23:14 -0800,Pekin,Eastern Time (US & Canada)
8062,8145,-1634263039,negative,0,Customer Service Issue,0.6541,American,,otisday,,0,@AmericanAir @ShannonBloom Where's my DM? Where's my voucher? Who's paying my $70 cab and my $50 car back to JFK tomorrow?,,2015-02-22 12:24:54 -0800,Pekin,Eastern Time (US & Canada)
8131,8214,-828981248,negative,0,Flight Attendant Complaints,0.3919,American,,otisday,,0,@AmericanAir @yvonneokaka When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?,,2015-02-22 12:45:56 -0800,Pekin,Eastern Time (US & Canada)
8137,8220,1054269440,negative,1,Customer Service Issue,0.6599,American,,otisday,,0,@AmericanAir @brewcrewfan8 Is this real life AA? Like 2015 real life? You should be emailing/calling/DMing people you've inconvenienced.,,2015-02-22 12:47:29 -0800,Pekin,Eastern Time (US & Canada)
8143,8226,-1411981312,negative,1,Customer Service Issue,0.361,American,,otisday,,0,@AmericanAir @ActingOutMgmnt Just make sure they remember to load the bags onto the plane. They Cancelled Flight the flight when they forget...,,2015-02-22 12:49:52 -0800,Pekin,Eastern Time (US & Canada)
8148,8231,-2129190912,negative,1,Customer Service Issue,1.0,American,,otisday,,0,@AmericanAir @marxsterbcow How is this a real life response to a customer service issue? Seriously. Keep trying to call us. Eh might work.,,2015-02-22 12:51:07 -0800,Pekin,Eastern Time (US & Canada)
8149,8232,1490489345,negative,1,Customer Service Issue,0.6887,American,,otisday,,0,@AmericanAir @tennetexan Too bad there's only like 3 people on that team then. Because this is next level unreal.,,2015-02-22 12:51:47 -0800,Pekin,Eastern Time (US & Canada)
8151,8234,1289146368,negative,1,Cancelled Flight,0.6773,American,,otisday,,0,@AmericanAir @CAexhibitions Sorry in like a general way? Or sorry that incompetence/understaffing is compounding weather issues?,,2015-02-22 12:52:42 -0800,Pekin,Eastern Time (US & Canada)
8155,8238,-1927868416,negative,1,Customer Service Issue,0.7282,American,,otisday,,0,@AmericanAir @sweetmel If weather is bad wouldn't your folks try extra hard to communicate...or load bags onto flight 1320...or...anything?,,2015-02-22 12:53:38 -0800,Pekin,Eastern Time (US & Canada)
8174,8257,1847005184,negative,1,Customer Service Issue,1.0,American,,otisday,,0,@AmericanAir Cool a canned response. Nah I think I'll keep tweeting at everyone who mentions AA on Twitter. You could DM me though.,,2015-02-22 12:58:10 -0800,Pekin,Eastern Time (US & Canada)
8178,8261,1851203584,negative,1,Customer Service Issue,0.6589,American,,otisday,,0,@AmericanAir @russelneiss No American. This is simple. How about YOU call HER back with the info for her new flight. Basic customer service,,2015-02-22 13:00:08 -0800,Pekin,Eastern Time (US & Canada)
8198,8281,-1852375040,negative,1,Can't Tell,0.6431,American,,otisday,,0,@AmericanAir @ejacqui If you updated the screens then people would know the Late Flightst info good or bad. And that wouldn't work because...,,2015-02-22 13:04:13 -0800,Pekin,Eastern Time (US & Canada)
8209,8292,1213669376,negative,1,Customer Service Issue,0.7159,American,,otisday,,0,@AmericanAir @_emmaclifford No. At JFK you sort of have to guess things out. It's a small airport so whatever.,,2015-02-22 13:06:32 -0800,Pekin,Eastern Time (US & Canada)
8238,8321,307691521,negative,1,Late Flight,0.6863,American,,otisday,,0,@AmericanAir @BDinDallas The personal touch you're known for AA. Other cool perks: blaming understaffing on weather. And 3 hr hold times.,,2015-02-22 13:11:37 -0800,Pekin,Eastern Time (US & Canada)
8249,8332,-1974030336,negative,1,Flight Booking Problems,0.7115,American,,otisday,,0,@AmericanAir @naomi_cooper Are you out of your mind AA? What is the point of this Twitter acct? Form letters in 140 characters or less?,,2015-02-22 13:13:32 -0800,Pekin,Eastern Time (US & Canada)
8256,8339,1863753728,negative,0,Customer Service Issue,0.659,American,,otisday,,0,@AmericanAir @cheerUPDATES So you're saying the call center is understaffed?,,2015-02-22 13:14:41 -0800,Pekin,Eastern Time (US & Canada)
8315,8398,374792192,negative,1,Customer Service Issue,0.6696,American,,otisday,,0,@AmericanAir @GolfWithWoody Don't buy it Woody. They're making it MUCH worse with understaffing rudeness and pre-rookie mistakes,,2015-02-22 13:33:55 -0800,Pekin,Eastern Time (US & Canada)
8503,8588,1997983744,negative,0,Customer Service Issue,0.6868,American,,otisday,,0,@AmericanAir I did. Should i expect a response in this fiscal year? This calendar year? Never?,,2015-02-22 14:18:12 -0800,Pekin,Eastern Time (US & Canada)
9128,9217,2123833344,negative,1,Customer Service Issue,0.6579,American,,otisday,,0,@AmericanAir @JimDayTV no you couldn't care less. That's why their customer service is run by bots,,2015-02-22 17:06:18 -0800,Pekin,Eastern Time (US & Canada)
9134,9223,1343684608,negative,1,Customer Service Issue,1.0,American,,otisday,,1,@AmericanAir @sarahzou translation: we don't reinvest our mammoth profits into the customer service experience. 'Cause we don't care.,,2015-02-22 17:07:45 -0800,Pekin,Eastern Time (US & Canada)
9156,9245,1263992832,negative,1,Customer Service Issue,1.0,American,,otisday,,0,@AmericanAir @ezemanalyst why don't you tweet canned impersonal responses as though this is the only impatient customer you've got,,2015-02-22 17:13:07 -0800,Pekin,Eastern Time (US & Canada)
9169,9258,22462464,negative,0,Customer Service Issue,0.3292,American,,otisday,,0,"@AmericanAir @manuel_c ""here for you"" as in yeah we'll tweet platitudes at you so you'll think our Twitter bot cares? Or....",,2015-02-22 17:14:57 -0800,Pekin,Eastern Time (US & Canada)
9178,9267,-2099855360,negative,1,Can't Tell,0.6428,American,,otisday,,0,@AmericanAir @PatrichRuben no profit maximization is your top priority. Nothing else even registers for you dinosaurs,,2015-02-22 17:15:43 -0800,Pekin,Eastern Time (US & Canada)
9225,9315,1817616385,negative,1,Customer Service Issue,1.0,American,,otisday,,0,@AmericanAir @kaps12 this is an international airline that experienced record profits last quarter. But they can't staff a call center,,2015-02-22 17:24:23 -0800,Pekin,Eastern Time (US & Canada)
9229,9319,-1382608896,negative,1,Customer Service Issue,1.0,American,,otisday,,0,@AmericanAir @cjdjpdx not a valid response in 2015 for a multinational corp whose profits are measured in billions. Stop understaffing!,,2015-02-22 17:25:39 -0800,Pekin,Eastern Time (US & Canada)
9236,9326,731308032,negative,1,Customer Service Issue,1.0,American,,otisday,,0,@AmericanAir @jameswester see James we only have 7 dedicated inbound phone lines because telephones eat into our billions in profits,,2015-02-22 17:27:17 -0800,Pekin,Eastern Time (US & Canada)
9306,9397,-1315512320,negative,1,Customer Service Issue,0.6588,American,,otisday,,0,@AmericanAir @praywinn between understaffing what looks like a labor slowdown weather incompetence and disregard for the customer...,,2015-02-22 17:40:12 -0800,Pekin,Eastern Time (US & Canada)
