"",tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1,1292390400,neutral,1,,,Delta,,JetBlueNews,,0,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch,,2015-02-16 23:36:05 -0800,USA,Sydney
2,1741189120,negative,1,Can't Tell,0.6503,Delta,,nesi_1992,,0,@JetBlue is REALLY getting on my nerves !! 😡😡 #nothappy,,2015-02-16 23:43:02 -0800,undecided,Pacific Time (US & Canada)
3,-1542963200,negative,1,Late Flight,0.346,United,,CPoutloud,,0,@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.,,2015-02-16 23:48:48 -0800,Washington DC,
4,2059558914,negative,1,Late Flight,1,United,,brenduch,,0,@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving have to wait,,2015-02-16 23:52:20 -0800,,Buenos Aires
5,423759872,negative,1,Customer Service Issue,0.3451,Southwest,,VahidESQ,,0,@SouthwestAir its cool that my bags take a bit longer dont give me baggage blue balls-turn the carousel on tell me it's coming then not.,,2015-02-17 00:00:36 -0800,Los Angeles CA,Pacific Time (US & Canada)
6,1241665536,negative,1,Late Flight,1,United,,CRomerDome,,0,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher,,2015-02-17 00:05:27 -0800,Portland OR,Pacific Time (US & Canada)
7,1241665536,negative,1,Late Flight,1,United,,CRomerDome,,0,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher,,2015-02-17 00:05:27 -0800,Portland OR,Pacific Time (US & Canada)
8,2038956033,negative,1,Customer Service Issue,0.3545,United,,JustOGG,,0,@united link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.,,2015-02-17 01:18:29 -0800,Tweets = My Opinion,Eastern Time (US & Canada)
9,2038956033,negative,1,Customer Service Issue,0.3545,United,,JustOGG,,0,@united link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.,,2015-02-17 01:18:29 -0800,Tweets = My Opinion,Eastern Time (US & Canada)
10,2038956033,negative,1,Customer Service Issue,0.3545,United,,JustOGG,,0,@united link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.,,2015-02-17 01:18:29 -0800,Tweets = My Opinion,Eastern Time (US & Canada)
11,1703440384,negative,1,Customer Service Issue,1,Southwest,,mrshossruns,,0,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?,,2015-02-17 01:30:32 -0800,,Eastern Time (US & Canada)
12,1703440384,negative,1,Customer Service Issue,1,Southwest,,mrshossruns,,0,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?,,2015-02-17 01:30:32 -0800,,Eastern Time (US & Canada)
9,1703440384,negative,1,Customer Service Issue,1,Southwest,,mrshossruns,,0,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?,,2015-02-17 01:30:32 -0800,,Eastern Time (US & Canada)
9,1703440384,negative,1,Customer Service Issue,1,Southwest,,mrshossruns,,0,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?,,2015-02-17 01:30:32 -0800,,Eastern Time (US & Canada)
10,-951549952,negative,1,Customer Service Issue,0.6797,United,,feliciastoler,,0,@united I tried 2 DM it would not go thru... not sure why,[0.0 0.0],2015-02-17 01:32:09 -0800,New Jersey,Central Time (US & Canada)
10,-951549952,negative,1,Customer Service Issue,0.6797,United,,feliciastoler,,0,@united I tried 2 DM it would not go thru... not sure why,[0.0 0.0],2015-02-17 01:32:09 -0800,New Jersey,Central Time (US & Canada)
10,-951549952,negative,1,Customer Service Issue,0.6797,United,,feliciastoler,,0,@united I tried 2 DM it would not go thru... not sure why,[0.0 0.0],2015-02-17 01:32:09 -0800,New Jersey,Central Time (US & Canada)
10,-951549952,negative,1,Customer Service Issue,0.6797,United,,feliciastoler,,0,@united I tried 2 DM it would not go thru... not sure why,[0.0 0.0],2015-02-17 01:32:09 -0800,New Jersey,Central Time (US & Canada)
10,-951549952,negative,1,Customer Service Issue,0.6797,United,,feliciastoler,,0,@united I tried 2 DM it would not go thru... not sure why,[0.0 0.0],2015-02-17 01:32:09 -0800,New Jersey,Central Time (US & Canada)
11,474492928,negative,0,Flight Booking Problems,0.6337,United,,ljsbrooks,,0,Wanted to get my bag benefit but instead get $25 pricing on all three tickets. When adding a card MP Visa is only option. @united,[38.9058375 -77.00423674],2015-02-17 01:54:53 -0800,Washington DC,Eastern Time (US & Canada)
12,-419299328,negative,1,Bad Flight,0.3611,United,,ljsbrooks,,0,@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!,,2015-02-17 02:10:58 -0800,,Atlantic Time (Canada)
11,474492928,negative,0,Flight Booking Problems,0.6337,United,,ljsbrooks,,0,Wanted to get my bag benefit but instead get $25 pricing on all three tickets. When adding a card MP Visa is only option. @united,[38.9058375 -77.00423674],2015-02-17 01:54:53 -0800,Washington DC,Eastern Time (US & Canada)
12,-419299328,negative,1,Bad Flight,0.3611,United,,ljsbrooks,,0,@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!,,2015-02-17 02:10:58 -0800,,Atlantic Time (Canada)
11,474492928,negative,0,Flight Booking Problems,0.6337,United,,ljsbrooks,,0,Wanted to get my bag benefit but instead get $25 pricing on all three tickets. When adding a card MP Visa is only option. @united,[38.9058375 -77.00423674],2015-02-17 01:54:53 -0800,Washington DC,Eastern Time (US & Canada)
12,-419299328,negative,1,Bad Flight,0.3611,United,,ljsbrooks,,0,@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!,,2015-02-17 02:10:58 -0800,,Atlantic Time (Canada)
14,1174949888,neutral,1,,,United,,ashenfaced,,0,@united even though technically after I land I will be silver?,,2015-02-17 02:38:11 -0800,,Central Time (US & Canada)
15,-410517503,neutral,1,,,US Airways,,ashenfaced,,0,@USAirways how's us 1797 looking today?,,2015-02-17 03:14:32 -0800,Brighton,
16,-406712319,positive,1,,,Southwest,,ashenfaced,,0,@SouthwestAir nice work on the update!,,2015-02-17 04:03:09 -0800,,Pacific Time (US & Canada)
15,-410517503,neutral,1,,,US Airways,,ashenfaced,,0,@USAirways how's us 1797 looking today?,,2015-02-17 03:14:32 -0800,Brighton,
16,-406712319,positive,1,,,Southwest,,ashenfaced,,0,@SouthwestAir nice work on the update!,,2015-02-17 04:03:09 -0800,,Pacific Time (US & Canada)
15,-410517503,neutral,1,,,US Airways,,ashenfaced,,0,@USAirways how's us 1797 looking today?,,2015-02-17 03:14:32 -0800,Brighton,
16,-406712319,positive,1,,,Southwest,,ashenfaced,,0,@SouthwestAir nice work on the update!,,2015-02-17 04:03:09 -0800,,Pacific Time (US & Canada)
15,-410517503,neutral,1,,,US Airways,,ashenfaced,,0,@USAirways how's us 1797 looking today?,,2015-02-17 03:14:32 -0800,Brighton,
17,1514688512,negative,1,Lost Luggage,1,United,,sevnthstar,,0,@united i have items of sentimental value that I'm heartbroken are missing,,2015-02-17 04:33:32 -0800,Omagh/Belfast,London
18,167927808,negative,1,Late Flight,0.6605,Southwest,,sevnthstar,,0,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,,2015-02-17 04:35:00 -0800,USA,Eastern Time (US & Canada)
19,381812736,neutral,1,,,Delta,,sevnthstar,,0,@JetBlue CEO weighs profits flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn,,2015-02-17 04:50:05 -0800,UK,Sydney
20,-364756992,negative,1,Customer Service Issue,1,US Airways,,sevnthstar,,0,@USAirways @AmericanAir How r u supposed to change flights 
when u can't get thru to reservations? #OneHourOnHold,,2015-02-17 05:04:44 -0800,often underwater,Pacific Time (US & Canada)
17,1514688512,negative,1,Lost Luggage,1,United,,sevnthstar,,0,@united i have items of sentimental value that I'm heartbroken are missing,,2015-02-17 04:33:32 -0800,Omagh/Belfast,London
18,167927808,negative,1,Late Flight,0.6605,Southwest,,sevnthstar,,0,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,,2015-02-17 04:35:00 -0800,USA,Eastern Time (US & Canada)
19,381812736,neutral,1,,,Delta,,sevnthstar,,0,@JetBlue CEO weighs profits flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn,,2015-02-17 04:50:05 -0800,UK,Sydney
20,-364756992,negative,1,Customer Service Issue,1,US Airways,,sevnthstar,,0,@USAirways @AmericanAir How r u supposed to change flights 
when u can't get thru to reservations? #OneHourOnHold,,2015-02-17 05:04:44 -0800,often underwater,Pacific Time (US & Canada)
17,1514688512,negative,1,Lost Luggage,1,United,,sevnthstar,,0,@united i have items of sentimental value that I'm heartbroken are missing,,2015-02-17 04:33:32 -0800,Omagh/Belfast,London
21,-1962409984,positive,1,,,Delta,,WorkingWify,,0,@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :),[32.07301184 -81.09362691],2015-02-17 05:07:11 -0800,Savannah GA,
22,-788385792,negative,1,Late Flight,0.7098,United,,WorkingWify,,0,@United is officially the worst most delayed and least helpful airline I have ever had the misfortune of flying on,,2015-02-17 05:26:15 -0800,New York NY,Eastern Time (US & Canada)
23,1795317760,negative,1,Customer Service Issue,0.6364,Southwest,,WorkingWify,,0,@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone,,2015-02-17 05:27:09 -0800,America,
24,1875378176,negative,1,Customer Service Issue,0.7188,US Airways,,WorkingWify,,0,@USAirways reservations had me on hold for 2 hours only to hang up...smh 😕,,2015-02-17 05:38:31 -0800,Somewhere Creating,Eastern Time (US & Canada)
